Date,Value
1957-12-31,0.7754
1958-03-31,0.5234
1958-06-30,1.0925
1958-09-30,1.3479
1958-12-31,1.8237
1959-03-31,0.5392
1959-06-30,0.5547
1959-09-30,0.2539
1959-12-31,0.7242
1960-03-31,-0.1927
1960-06-30,0.6391
1960-09-30,0.4627
1960-12-31,1.1771
1961-03-31,0.9085
1961-06-30,1.5301
1961-09-30,1.284
1961-12-31,1.4254
1962-03-31,-0.2008
1962-06-30,-0.098
1962-09-30,-0.4624
1962-12-31,0.1641
1963-03-31,-0.3438
1963-06-30,0.4929
1963-09-30,0.3784
1963-12-31,0.9268
1964-03-31,-0.1249
1964-06-30,0.1884
1964-09-30,-0.2588
1964-12-31,0.1888
1965-03-31,-0.4499
1965-06-30,-0.0429
1965-09-30,-0.6333
1965-12-31,-0.9111
1966-03-31,-2.0534
1966-06-30,-1.8533
1966-09-30,-2.9749
1966-12-31,-3.2364
1967-03-31,-3.9618
1967-06-30,-3.315
1967-09-30,-3.4576
1967-12-31,-1.6562
1968-03-31,-3.5789
1968-06-30,-3.3097
1968-09-30,-4.0091
1968-12-31,-3.5235
1969-03-31,-4.7774
1969-06-30,-3.9824
1969-09-30,-4.4258
1969-12-31,-3.8872
1970-03-31,-4.8925
1970-06-30,-4.1038
1970-09-30,-3.9439
1970-12-31,-3.4002
1971-03-31,-4.1509
1971-06-30,-3.4522
1971-09-30,-3.4079
1971-12-31,-3.2762
1972-03-31,-3.5663
1972-06-30,-2.6103
1972-09-30,-2.7269
1972-12-31,-2.2384
1973-03-31,-2.4138
1973-06-30,-1.7179
1973-09-30,-1.5722
1973-12-31,-1.7951
1974-03-31,-2.1378
1974-06-30,-0.8417
1974-09-30,-0.7287
1974-12-31,-0.8815
1975-03-31,-2.599
1975-06-30,-3.094
1975-09-30,-3.969
1975-12-31,-4.4246
1976-03-31,-6.1175
1976-06-30,-6.1179
1976-09-30,-6.1881
1976-12-31,-5.6834
1977-03-31,-5.5526
1977-06-30,-4.5256
1977-09-30,-4.3114
1977-12-31,-3.569
1978-03-31,-3.675
1978-06-30,-2.7605
1978-09-30,-2.5977
1978-12-31,-2.7089
1979-03-31,-3.4989
1979-06-30,-2.27
1979-09-30,-1.5978
1979-12-31,-1.2155
1980-03-31,-1.3012
1980-06-30,-1.9224
1980-09-30,-1.5753
1980-12-31,-1.1903
1981-03-31,-2.6914
1981-06-30,-2.6698
1981-09-30,-3.3838
1981-12-31,-3.552
1982-03-31,-3.3351
1982-06-30,-2.5157
1982-09-30,-2.0142
1982-12-31,-1.4612
1983-03-31,-1.8676
1983-06-30,-1.204
1983-09-30,-0.957
1983-12-31,-0.6293
1984-03-31,-1.0419
1984-06-30,-0.0782
1984-09-30,0.203
1984-12-31,1.5702
1985-03-31,2.1979
1985-06-30,3.3955
1985-09-30,4.1566
