Date,Value
1990-02-01,0.3760880512
1990-03-01,0.237936017
1990-04-01,0.4127913316
1990-05-01,0.134817322
1990-06-01,0.0021651452
1990-07-01,-0.0451763347
1990-08-01,0.4623953058
1990-09-01,0.8806058365
1990-10-01,1.1407191583
1990-11-01,1.0744576037
1990-12-01,1.2094255311
1991-01-01,1.4187696788
1991-02-01,1.0668037351
1991-03-01,0.4872043959
1991-04-01,0.4718225304
1991-05-01,0.1354995923
1991-06-01,0.4198407569
1991-07-01,0.2215603034
1991-08-01,0.1022077168
1991-09-01,0.0502838705
1991-10-01,-0.124570592
1991-11-01,0.0422030572
1991-12-01,0.0892918873
1992-01-01,0.1258824013
1992-02-01,0.0296100582
1992-03-01,-0.1293025924
1992-04-01,-0.3576077093
1992-05-01,-0.508436543
1992-06-01,-0.4432103334
1992-07-01,-0.374366189
1992-08-01,-0.3351505048
1992-09-01,-0.4318180335
1992-10-01,0.00791665
1992-11-01,-0.2004178633
1992-12-01,-0.3193007444
1993-01-01,-0.2610808445
1993-02-01,-0.3280528837
1993-03-01,-0.2158945681
1993-04-01,-0.1283299843
1993-05-01,-0.3923197779
1993-06-01,-0.427736343
1993-07-01,-0.5401603584
1993-08-01,-0.6155027617
1993-09-01,-0.5586636971
1993-10-01,-0.4753183756
1993-11-01,-0.6726344126
1993-12-01,-0.8027990954
1994-01-01,-0.9527062843
1994-02-01,-0.8298790233
1994-03-01,-0.5872952974
1994-04-01,-0.5291126158
1994-05-01,-0.8015306528
1994-06-01,-0.8442829019
1994-07-01,-0.8537804684
1994-08-01,-1.0023288319
1994-09-01,-0.9268931496
1994-10-01,-0.913450786
1994-11-01,-0.7555540325
1994-12-01,-0.5243681761
1995-01-01,-0.5965343207
1995-02-01,-0.8938944982
1995-03-01,-0.9183069613
1995-04-01,-0.9473892711
1995-05-01,-0.9957890313
1995-06-01,-0.8925986119
1995-07-01,-0.8815589487
1995-08-01,-0.9287792476
1995-09-01,-1.0070835903
1995-10-01,-0.6982196434
